TITLE,ARTIST
image of a star,various artists
sabado e domingo,hyldon
rico tumbao,grupo melon sabroso
mujer,joe bataan
a mente,"paulo bagunca,"
c'est chic,pony bravo
smiling faces sometimes,bobbi humphrey
kad bi postojala zena,grupa anelidi
esclavo y amo,los pasteles verdes
krioula,wanderlea
tambor chamou,joao selva
qu'il est bete ce garcon,pierre vassiliu
ginga,"lincoln olivetti & robson jorge,"
je reviens,gilles rivard
rumba rumbero,hielo ardiente
asi se hace,sunny and the sunliners
un mojado sin licensia,flaco jimenez
la voix de la sirene,giorgio lopez
toujours distante,giorgio lopez
to be named later,jack mcduff
all i've got,astrud gilberto
how can i say goodbye?,willie bobo and the bo-gents
