nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
aos baroes,Aos Barões,lo borges,Lô Borges,1.0,0.8889
eu sou como voce e,Eu Sou Como Você É,lo borges,Lô Borges,1.0,0.8889
undiu,Undiú,joao gilberto,João Gilberto,1.0,0.9231
aguas de marco,Águas de Março,joao gilberto,João Gilberto,1.0,0.9231
e preciso perdoar,É preciso Perdoar,joao gilberto,João Gilberto,1.0,0.9231
siestas ahi,Siestas ahí,juana molina,Juana Molina,1.0,1.0
e preciso ter amor,É Preciso Ter Amor,bruno berle,Bruno Berle,1.0,1.0
mario's cafe,Mario's Café,saint etienne,Saint Etienne,1.0,1.0
voo cego,Vôo Cego,marcos valle,Marcos Valle,1.0,1.0
flamengo ate morrer,Flamengo Até Morrer,marcos valle,Marcos Valle,1.0,1.0
uwazaj jak tanczysz,Uważaj Jak Tańczysz,pejzaz,Pejzaż,1.0,0.8333
korperwarme,Körperwärme,futurologischer congress,1. Futurologischer Congress,1.0,0.9412
uma cancao a mais,Uma Canção a Mais,orquestra e como som livre,Orquestra e Coro Som Livre,1.0,0.9615
i mit efterar,I Mit Efterår,anne-tina,Anne-Tina,1.0,1.0
"por voce, com voce","Por Você, Com Você",guilherme arantes,Guilherme Arantes,1.0,1.0
springande & vack min kropp opp,Springande & Väck Min Kropp Opp,ray ragnhild adams,Ray Ragnhild Adams,1.0,1.0
eisbar,Eisbär,grauzone,Grauzone,1.0,1.0
ninety three 'til infinity and beyonce,Ninety Three 'Til Infinity And Beyoncé,andre 3000,André 3000,1.0,0.9
tombes oubliees,Tombes Oubliées,the brian jonestown massacre,The Brian Jonestown Massacre,1.0,1.0
le debut de la fin,Le début de la fin,domenique dumont,Domenique Dumont,1.0,1.0
deja vu (uptown baby),Déjà Vu (Uptown Baby),lord tariq & peter gunz,Lord Tariq;Peter Gunz,1.0,0.9091
po to jestes na swiecie,Po to jesteś na świecie,maanam,Maanam,1.0,1.0
agua de meninos,Água de Meninos,gilberto gil,Gilberto Gil,1.0,1.0
maracatu atomico,Maracatu Atômico,gilberto gil,Gilberto Gil,1.0,1.0
de l'orient a l'orion,De l'Orient à l'Orion,rk nagati,RK Nagati,1.0,1.0
the colours of chloe,The Colours Of Chloë,eberhard weber,Eberhard Weber,1.0,1.0
a nivel de...,A Nível De...,joao bosco,João Bosco,1.0,0.9
lineas,Líneas,los encargados,Los Encargados,1.0,1.0
lisiere,Lisière,laurie torres,Laurie Torres,1.0,1.0
ganglat efter blecka anders,Gånglåt efter Bleckå Anders,merit hemmingson,Merit Hemmingson,1.0,1.0
sma latta moln,Små lätta moln,pugh rogerfeldt,Pugh Rogefeldt,1.0,0.9655
onde e que a gente vai?,Onde É Que a Gente Vai?,dalto,Dalto,1.0,1.0
voce pra mim,Você Pra Mim,fernanda abreu,Fernanda Abreu,1.0,1.0
atmosphere,Atmosphère,uman,UMAN,1.0,1.0
que es esto?,qué es esto?,margaroth,margaroth,1.0,1.0
alegria,Alegría,elia y elizabeth,Elia y Elizabeth,1.0,1.0
rest' la maloya,Rest' là maloya,alain peters,Alain Péters,1.0,0.9167
nijana,Nijána,jana koubkova,Jana Koubková,1.0,0.9231
drum prin cimpie,Drum Prin Cîmpie,basorelief,Basorelief,1.0,1.0
cajuina,Cajuína,ppj,PPJ,1.0,1.0
