nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
en hast utan namn = a horse with no name,En häst utan namn,family four,Family Four,0.5965,1.0
ear blow out [108.120 bpm],Magenta Flu [140 BPM],vegyn,Vegyn,0.5957,1.0
amerikan dread (androo dub remix),Amerikan Dread,victor,Victor,0.5957,1.0
out of hand (extended mix),Out of Hand,mighty lemon drops,The Mighty Lemon Drops,0.5946,0.9
lyk u use 2,Lyk U Use 2 (feat. Andres),"moodymann,",Moodymann;Andres,0.5946,0.6923
la balsa dedication,La Balsa,los gatos,Los Gatos,0.5926,1.0
intimate friends (full length version),Intimate Friends,eddie kendricks,Eddie Kendricks,0.5926,1.0
didn't i (original),Didn't I,darondo,Darondo,0.5926,1.0
old time lovin',Colour Me In,bob scaggs,Broadcast,0.5926,0.5263
vision de la nuit,Inside Out,emessa,Jesse Rae,0.5926,0.5333
light my fire,light my fire (2024 Remastered),poison girlfriend,POiSON GiRL FRiEND,0.5909,0.9714
night flanger,Night Flanger - Remastered 2005,yello,Yello,0.5909,1.0
top line sensory overload [120 bpm],NExt up its sleepo mode [160 BPM],vegyn,Vegyn,0.5882,1.0
harmonie,Chameleon,anthony naples,Anthony Naples,0.5882,1.0
move on up,Move on Up - Single Edit,curtis mayfield,Curtis Mayfield,0.5882,1.0
today,Today - Live,jefferson airplane,Jefferson Airplane,0.5882,1.0
madam butterfly,Madam Butterfly (Un beld di vedremo),malcom mclaren,Malcom McLaren,0.5882,1.0
evergreen dazed,Evergreen Dazed - Remastered Edition,felt,Felt,0.5882,1.0
none greater than john,Peter & John,andrew warts and the gospel storytellers,Andrew Wartts And The Gospel Storytellers,0.5882,0.9877
byd mor wahanol (world so different),Byd Mor Wahanol,llwybr llaethog,Llwybr Llaethog,0.5882,1.0
runnin' away,Runnin' Away - Single Version,sly & the family stone,Sly & The Family Stone,0.5854,1.0
if you love me (street vibe remix),If You Love Me,brownstone,Brownstone,0.5833,1.0
halcyon,HALCYON + ON + ON,orbital,Orbital,0.5833,1.0
mashisa (dub mix),Mashisa,v.o.,V.O.,0.5833,1.0
i'm waiting for the man,Right On For The Darkness,white light,Willie Wright,0.5833,0.6667
bronyraur,Bron-Yr-Aur - Remaster,led zeppelin,Led Zeppelin,0.5806,1.0
