TITLE,ARTIST
veneno,zoe
si me adverti,zurdok
avientame,cafe tacvba
olvidela compa,nortec collective
bareta '89,plastilina mosh
show merolico,wakal
p.e.c.,titan
hey tia!,mexican institute of sound
soun tha mi primer amor,kinky
nortena del sur,nortec: bostich + fussible
pontiac firebird 82,"sonido lasser drakar,"
yepa yepa yepa,silverio
margarita,lucia mendez
ven porque te necesito,los temerarios
ramito de violetas,mi banda el mexicano
tiene espinas el rosal,grupo canaveral de humberto pabon
